"filename", "language", "JSON", "Markdown", "HTML", "JavaScript", "CSS", "comment", "blank", "total"
"c:\Users\autog\projects\LOTUS\lotus-client-final\README.md", "Markdown", 0, 37, 0, 0, 0, 0, 32, 69
"c:\Users\autog\projects\LOTUS\lotus-client-final\package-lock.json", "JSON", 15399, 0, 0, 0, 0, 0, 1, 15400
"c:\Users\autog\projects\LOTUS\lotus-client-final\package.json", "JSON", 32, 0, 0, 0, 0, 0, 1, 33
"c:\Users\autog\projects\LOTUS\lotus-client-final\public\index.html", "HTML", 0, 0, 18, 0, 0, 10, 2, 30
"c:\Users\autog\projects\LOTUS\lotus-client-final\public\manifest.json", "JSON", 9, 0, 0, 0, 0, 0, 1, 10
"c:\Users\autog\projects\LOTUS\lotus-client-final\src\Components\App\App.css", "CSS", 0, 0, 0, 0, 16, 0, 3, 19
"c:\Users\autog\projects\LOTUS\lotus-client-final\src\Components\App\App.js", "JavaScript", 0, 0, 0, 45, 0, 0, 5, 50
"c:\Users\autog\projects\LOTUS\lotus-client-final\src\Components\App\App.test.js", "JavaScript", 0, 0, 0, 14, 0, 0, 2, 16
"c:\Users\autog\projects\LOTUS\lotus-client-final\src\Components\CreateCharacter\CreateCharacter.css", "CSS", 0, 0, 0, 0, 11, 0, 2, 13
"c:\Users\autog\projects\LOTUS\lotus-client-final\src\Components\CreateCharacter\CreateCharacter.js", "JavaScript", 0, 0, 0, 68, 0, 0, 7, 75
"c:\Users\autog\projects\LOTUS\lotus-client-final\src\Components\CreateCharacter\CreateCharacter.test.js", "JavaScript", 0, 0, 0, 8, 0, 0, 2, 10
"c:\Users\autog\projects\LOTUS\lotus-client-final\src\Components\DisplayCharacter\DisplayCharacter.css", "CSS", 0, 0, 0, 0, 48, 0, 7, 55
"c:\Users\autog\projects\LOTUS\lotus-client-final\src\Components\DisplayCharacter\DisplayCharacter.js", "JavaScript", 0, 0, 0, 135, 0, 0, 15, 150
"c:\Users\autog\projects\LOTUS\lotus-client-final\src\Components\DisplayCharacter\DisplayCharacter.test.js", "JavaScript", 0, 0, 0, 8, 0, 0, 2, 10
"c:\Users\autog\projects\LOTUS\lotus-client-final\src\Components\DisplayCharacter\Stats.js", "JavaScript", 0, 0, 0, 21, 0, 21, 7, 49
"c:\Users\autog\projects\LOTUS\lotus-client-final\src\Components\Header\Header.css", "CSS", 0, 0, 0, 0, 59, 0, 8, 67
"c:\Users\autog\projects\LOTUS\lotus-client-final\src\Components\Header\Header.js", "JavaScript", 0, 0, 0, 49, 0, 0, 6, 55
"c:\Users\autog\projects\LOTUS\lotus-client-final\src\Components\LandingPage\LandingPage.css", "CSS", 0, 0, 0, 0, 34, 0, 5, 39
"c:\Users\autog\projects\LOTUS\lotus-client-final\src\Components\LandingPage\LandingPage.js", "JavaScript", 0, 0, 0, 21, 0, 0, 2, 23
"c:\Users\autog\projects\LOTUS\lotus-client-final\src\Components\LandingPage\LandingPage.test.js", "JavaScript", 0, 0, 0, 8, 0, 0, 2, 10
"c:\Users\autog\projects\LOTUS\lotus-client-final\src\Components\LoginPage\LoginPage.css", "CSS", 0, 0, 0, 0, 17, 0, 3, 20
"c:\Users\autog\projects\LOTUS\lotus-client-final\src\Components\LoginPage\LoginPage.js", "JavaScript", 0, 0, 0, 53, 0, 0, 6, 59
"c:\Users\autog\projects\LOTUS\lotus-client-final\src\Components\LoginPage\LoginPage.test.js", "JavaScript", 0, 0, 0, 8, 0, 0, 2, 10
"c:\Users\autog\projects\LOTUS\lotus-client-final\src\Components\Quests\QuestButton.css", "CSS", 0, 0, 0, 0, 8, 0, 2, 10
